dn_id,dn_name,in_id,mn_id,muscle,muscle_type,dn_in_synapses,in_mn_synapses,pathway_strength
720575941733034283,DNp19,720575941464073558,720575941474574132,b3,steering,5,23,115
720575941733034283,DNp19,720575941464073558,720575941474574132,b3,steering,5,27,135
720575941733034283,DNp19,720575941464073558,720575941580669817,hg1,steering,5,7,35
720575941733034283,DNp19,720575941464073558,720575941580669817,hg1,steering,5,7,35
720575941733034283,DNp19,720575941464073558,720575941580669817,hg1,steering,5,5,25
720575941733034283,DNp19,720575941465484566,720575941549822781,b1,steering,5,9,45
720575941733034283,DNp19,720575941465484566,720575941655597785,b2,steering,5,3,15
720575941733034283,DNp19,720575941465484566,720575941655597785,b2,steering,5,37,185
720575941733034283,DNp19,720575941471203447,720575941521196211,b1,steering,14,13,182
720575941733034283,DNp19,720575941471203447,720575941521196211,b1,steering,14,10,140
720575941733034283,DNp19,720575941471203447,720575941521196211,b1,steering,14,3,42
720575941733034283,DNp19,720575941471203447,720575941624155644,b2,steering,14,12,168
720575941733034283,DNp19,720575941471203447,720575941624155644,b2,steering,14,4,56
720575941733034283,DNp19,720575941471203447,720575941521196211,b1,steering,3,13,39
720575941733034283,DNp19,720575941471203447,720575941521196211,b1,steering,3,10,30
720575941733034283,DNp19,720575941471203447,720575941521196211,b1,steering,3,3,9
720575941733034283,DNp19,720575941471203447,720575941624155644,b2,steering,3,12,36
720575941733034283,DNp19,720575941471203447,720575941624155644,b2,steering,3,4,12
720575941733034283,DNp19,720575941474741819,720575941456201887,hg1,steering,9,4,36
720575941733034283,DNp19,720575941474741819,720575941459347411,iii4,steering,9,3,27
720575941733034283,DNp19,720575941474741819,720575941463144336,DLM1,power,9,3,27
720575941733034283,DNp19,720575941474741819,720575941463144336,DLM1,power,9,13,117
720575941733034283,DNp19,720575941474741819,720575941468288375,hg3,steering,9,3,27
720575941733034283,DNp19,720575941474741819,720575941468288375,hg3,steering,9,5,45
720575941733034283,DNp19,720575941474741819,720575941479034563,DLM1,power,9,7,63
720575941733034283,DNp19,720575941474741819,720575941479034563,DLM1,power,9,9,81
720575941733034283,DNp19,720575941474741819,720575941479658831,hg2,steering,9,3,27
720575941733034283,DNp19,720575941474741819,720575941483845954,hg3,steering,9,4,36
720575941733034283,DNp19,720575941474741819,720575941507955269,DLM1,power,9,4,36
720575941733034283,DNp19,720575941474741819,720575941507955269,DLM1,power,9,4,36
720575941733034283,DNp19,720575941474741819,720575941519783640,DLM1,power,9,3,27
720575941733034283,DNp19,720575941474741819,720575941519783640,DLM1,power,9,3,27
720575941733034283,DNp19,720575941474741819,720575941533190337,DLM1,power,9,18,162
720575941733034283,DNp19,720575941474741819,720575941580669817,hg1,steering,9,4,36
720575941733034283,DNp19,720575941474741819,720575941583644382,DLM1,power,9,5,45
720575941733034283,DNp19,720575941474741819,720575941596050112,DLM5,power,9,7,63
720575941733034283,DNp19,720575941474741819,720575941624155644,b2,steering,9,6,54
720575941733034283,DNp19,720575941474741819,720575941624155644,b2,steering,9,11,99
720575941733034283,DNp19,720575941474741819,720575941640465439,DLM1,power,9,4,36
720575941733034283,DNp19,720575941474741819,720575941643100754,ps1,steering,9,4,36
720575941733034283,DNp19,720575941474741819,720575941643100754,ps1,steering,9,5,45
720575941733034283,DNp19,720575941474741819,720575941645041313,ps1,steering,9,3,27
720575941733034283,DNp19,720575941474741819,720575941645041313,ps1,steering,9,3,27
720575941733034283,DNp19,720575941474741819,720575941645041313,ps1,steering,9,6,54
720575941733034283,DNp19,720575941474741819,720575941645403000,DLM1,power,9,4,36
720575941733034283,DNp19,720575941474741819,720575941645403000,DLM1,power,9,3,27
720575941733034283,DNp19,720575941474741819,720575941655597785,b2,steering,9,22,198
720575941733034283,DNp19,720575941474741819,720575941732789547,hg2,steering,9,3,27
720575941733034283,DNp19,720575941474741819,720575941732789547,hg2,steering,9,5,45
720575941733034283,DNp19,720575941474741819,720575941456201887,hg1,steering,3,4,12
720575941733034283,DNp19,720575941474741819,720575941459347411,iii4,steering,3,3,9
