dn_group,muscle,indirect_fraction
DNut047,hg2,0.0012559168643171085
DNg05,DVM3A,0.0012514303466708088
DNut058,b2,0.0012457464697044377
DNp49,hg3,0.0012416527038192318
DNp15,b1,0.0012410276541434623
DNp63,DVM1A,0.0012396457161408109
DNa02,iii3,0.0012383492939282547
DNge084,b2,0.0012377351803889132
DNxn151,hg3,0.0012360515358129055
DNg108,b1,0.0012359244163554256
DNut051,DVM2A,0.0012342018285843794
DNg79,DLM1,0.001231466738746177
DNb04,b3,0.0012278786933559984
DNut051,DVM3A,0.0012261746531284255
DNut051,hg3,0.0012259170050527158
DNg06,hg4,0.0012252358888182344
DNge148,DVM3A,0.0012247141341808208
DNae003,b3,0.0012221871731517033
DNg32,hg2,0.001222168475681237
DNa08,ps1,0.0012177072111407726
DNge140,iii1,0.0012162148638059334
DNg91,i1,0.0012150018454325177
DNge084,iii3,0.0012099241853335252
DNg05,DVM1A,0.0012082893858961516
DNut047,DVM1A,0.001208274262556082
DNg74,b2,0.001206174323614924
DNut042,hg4,0.0012044685525350173
DNxn117,hg2,0.0011986820455416884
DNpe055,hg2,0.001195754513933778
DNp26,i1,0.0011950919198957751
DNge053,DVM3A,0.001195078845623146
DNge148,DVM2A,0.0011949859339176895
DNg05,DLM5,0.00119347515745491
DNp49,hg1,0.001188813711823184
DNa09,b3,0.0011881478550296379
DNxn118,iii3,0.0011877314444653031
DNut047,DVM3A,0.0011783547295572316
DNae002,hg4,0.0011762638889698488
DNp10,hg1,0.0011754660634299293
DNa09,DLM1,0.0011741135788147174
DNp03,DLM5,0.0011739239510614374
DNut051,DLM1,0.0011729915028355197
DNg45,b2,0.0011723754665911915
DNae003,iii4,0.0011695548837990766
DNg108,DLM5,0.0011693283079667863
DNg106,i1,0.0011674326168900982
DNg07,iii3,0.0011633298338438241
DNpe005,iii4,0.0011620989978097303
DNp42,ps1,0.0011610071872115908
DNge016,b2,0.0011600260907297692
DNg110,DVM1A,0.0011593809876491116
DNp28,iii4,0.001157074698515861
DNut062,hg4,0.0011549399212119897
DNp54,DVM1A,0.0011544747770778402
DNge084,DLM5,0.001152976636647868
DNpe005,b3,0.001152847041637273
DNge091,b1,0.001152359214476014
DNg79,ps1,0.001147803816069787
DNxn183,i2,0.001147113717359557
DNxn151,b2,0.0011415195090233154
DNpe053,DVM1A,0.0011403187917204869
DNg17,ps1,0.0011382103865688615
DNge084,DLM1,0.0011368749457549114
DNit007,hg3,0.0011335039576047302
DNxl130,DLM5,0.0011333381562209349
DNge049,DVM1A,0.001133255043744015
DNp42,iii1,0.0011318312475768531
DNp63,DVM3A,0.0011305790192919873
DNg108,DLM1,0.001129818274232786
DNb05,iii4,0.0011292051651625476
DNp49,hg4,0.0011280124645457468
DNa16,hg3,0.0011170750010220424
DNxn163,hg1,0.0011150628921888072
DNut037,b2,0.0011138439912452302
DNg27,hg3,0.0011098435142120773
DNge006,iii3,0.0011061895930383559
DNxn183,b2,0.0011033840915577252
DNg99,b3,0.0011030576319419896
DNg15,b1,0.0011027971123122888
DNb01,b2,0.001098759087459192
DNp03,DVM2A,0.0010939413649574874
DNp03,DVM1A,0.0010939219788865377
DNxn163,hg4,0.0010898289044692685
DNut051,i2,0.0010886764801804113
DNge091,hg4,0.0010875695763954585
DNg98,DLM5,0.0010868367038443004
DNg04,hg3,0.001084040673324963
DNut051,DVM1A,0.0010825878362712472
DNxn140,DVM1A,0.0010800880221266628
DNae002,b2,0.001079828079615479
DNp13,DLM5,0.0010796851761343713
DNpe054,b3,0.0010795939504946157
DNg21,ps1,0.001078765801963348
DNut040,b2,0.0010774813780536434
DNg110,DVM2A,0.001076921035935461
DNg32,i2,0.001074511147195313
DNp47,iii3,0.001071356055380527
DNg108,b2,0.00107062971468549
DNd03,DLM5,0.001070175983194193
DNg27,hg1,0.0010684500653488896
DNg70,DVM1A,0.0010683961286160823
DNxn102,DVM1A,0.0010674116518943424
DNp28,b2,0.00106606024932351
DNp03,b3,0.0010621211414604261
DNxn117,b2,0.001059329709207319
DNp103,iii1,0.0010591458390708124
DNp11,hg3,0.0010581421452113583
DNpe055,DLM1,0.0010579992901758165
DNg27,i1,0.001053961267598981
DNpe055,DLM5,0.0010507583406697996
DNp49,b3,0.0010504899598481339
DNg108,hg1,0.0010486820140285108
DNg05,ps1,0.001044310255372527
DNp48,DLM1,0.0010416096071809884
DNge084,b1,0.0010408102899310723
DNxn114,iii3,0.0010382759923318612
DNxn151,hg4,0.0010362257480948614
DNp03,i1,0.001034792698422527
DNb06,b2,0.0010304035946072205
DNg71,i1,0.0010233187198512013
DNa10,DVM2A,0.0010229310710049109
DNg15,hg2,0.0010229005872737767
DNp73,i2,0.0010206782404063935
DNg71,iii3,0.0010196108310434081
DNxn183,iii4,0.0010193984734667787
DNxn114,hg1,0.001018008980517026
DNa03,b3,0.0010178956263308008
DNut040,b3,0.001017450787581469
