group_id,group_size,target_mn,groupwise_synapses,group_neurons
131.0,2.0,720575941630940642,73,"[7.205759414772977e+17, 7.20575941525726e+17]"
134.0,2.0,720575941463144336,88,"[7.205759414775534e+17, 7.205759416180084e+17]"
134.0,2.0,720575941479034563,123,"[7.205759414775534e+17, 7.205759416180084e+17]"
134.0,2.0,720575941507955269,113,"[7.205759414775534e+17, 7.205759416180084e+17]"
134.0,2.0,720575941519783640,85,"[7.205759414775534e+17, 7.205759416180084e+17]"
134.0,2.0,720575941533190337,131,"[7.205759414775534e+17, 7.205759416180084e+17]"
134.0,2.0,720575941534583786,83,"[7.205759414775534e+17, 7.205759416180084e+17]"
134.0,2.0,720575941583644382,99,"[7.205759414775534e+17, 7.205759416180084e+17]"
134.0,2.0,720575941596050112,117,"[7.205759414775534e+17, 7.205759416180084e+17]"
134.0,2.0,720575941640465439,69,"[7.205759414775534e+17, 7.205759416180084e+17]"
134.0,2.0,720575941645403000,70,"[7.205759414775534e+17, 7.205759416180084e+17]"
139.0,2.0,720575941645041313,99,"[7.205759414784882e+17, 7.20575941489037e+17]"
144.0,2.0,720575941463144336,83,"[7.205759414810368e+17, 7.205759415377192e+17]"
144.0,2.0,720575941479034563,50,"[7.205759414810368e+17, 7.205759415377192e+17]"
144.0,2.0,720575941596050112,76,"[7.205759414810368e+17, 7.205759415377192e+17]"
148.0,2.0,720575941463144336,88,"[7.205759414846636e+17, 7.205759414077951e+17]"
148.0,2.0,720575941479034563,103,"[7.205759414846636e+17, 7.205759414077951e+17]"
148.0,2.0,720575941507955269,101,"[7.205759414846636e+17, 7.205759414077951e+17]"
148.0,2.0,720575941519783640,91,"[7.205759414846636e+17, 7.205759414077951e+17]"
148.0,2.0,720575941533190337,79,"[7.205759414846636e+17, 7.205759414077951e+17]"
148.0,2.0,720575941534583786,78,"[7.205759414846636e+17, 7.205759414077951e+17]"
148.0,2.0,720575941566847847,53,"[7.205759414846636e+17, 7.205759414077951e+17]"
148.0,2.0,720575941583644382,81,"[7.205759414846636e+17, 7.205759414077951e+17]"
148.0,2.0,720575941596050112,79,"[7.205759414846636e+17, 7.205759414077951e+17]"
148.0,2.0,720575941640465439,86,"[7.205759414846636e+17, 7.205759414077951e+17]"
148.0,2.0,720575941645403000,106,"[7.205759414846636e+17, 7.205759414077951e+17]"
149.0,2.0,720575941463144336,98,"[7.205759414851355e+17, 7.2057594161492e+17]"
149.0,2.0,720575941479034563,89,"[7.205759414851355e+17, 7.2057594161492e+17]"
149.0,2.0,720575941533190337,115,"[7.205759414851355e+17, 7.2057594161492e+17]"
